title,image_url,link_url,link_type,platform_name,RT,Fav,Total,Type
TWO FACED,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/twofaced/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?twofaced,play,browser,10,22,32,One-button
TAPPUMP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/tappump/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?tappump,play,browser,9,29,38,One-button
D FIGHT,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/dfight/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?dfight,play,browser,25,44,69,Slide
BALLS BOMBS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/ballsbombs/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?ballsbombs,play,browser,23,42,65,One-button
HEXMIN,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/hexmin/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?hexmin,play,browser,21,48,69,One-button
G PRESS,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/gpress/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?gpress,play,browser,33,88,121,One-button
MOLE N,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/molen/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?molen,play,browser,12,21,33,Tap
PORTAL J,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/portalj/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?portalj,play,browser,13,28,41,One-button
UD CAVE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/udcave/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?udcave,play,browser,28,51,79,One-button
CIRCLE W,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/circlew/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?circlew,play,browser,12,37,49,One-button
REVOLVE A,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/revolvea/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?revolvea,play,browser,17,29,46,One-button
M RIDER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/mrider/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?mrider,play,browser,42,119,161,One-button
T LANES,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/tlanes/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?tlanes,play,browser,49,98,147,One-button
B CANNON,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/bcannon/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?bcannon,play,browser,12,33,45,One-button
D LASER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/dlaser/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?dlaser,play,browser,46,84,130,One-button
HOLES,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/holes/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?holes,play,browser,39,79,118,One-button
COUNTER B,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/counterb/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?counterb,play,browser,53,112,165,One-button
FLIP O,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/flipo/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?flipo,play,browser,64,131,195,One-button
D MISSILE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/dmissile/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?dmissile,play,browser,22,38,60,One-button
SMOKE G,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/smokeg/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?smokeg,play,browser,29,66,95,Tap
I SLASH,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/islash/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?islash,play,browser,39,87,126,One-button
T HANOI,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/thanoi/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?thanoi,play,browser,28,49,77,Tap
